song_id;language;field;value
13575265;EN;name;Dear Oscar
13575265;JA;name;ディア・オスカー
13575268;EN;name;Test of Time
13575268;JA;name;テスト・オブ・タイム
13575271;EN;name;Wheatland
13609502;JA;name;スコットランド幻想曲 作品46 第4楽章: Finale (Allegro guerriero)
13609509;JA;name;スコットランド幻想曲 作品46 序奏 (Grave)
13609515;JA;name;スコットランド幻想曲 作品46 第1楽章: Adagio cantabile
13609521;JA;name;スコットランド幻想曲 作品46 第2楽章 アレグロ
13609527;JA;name;スコットランド幻想曲 作品46 第3楽章: Andante sostenuto
13609533;JA;name;ヴァイオリン協奏曲 第1番 ト短調 作品26 第2楽章: Adagio
13609539;JA;name;ヴァイオリン協奏曲 第1番 ト短調 作品26 第3楽章: Finale (Allegro energico)
13611240;JA;name;連作交響詩《わが祖国》 第5曲: ターボル
13611245;JA;name;連作交響詩《わが祖国》 第1曲: 高い城
13611250;JA;name;連作交響詩《わが祖国》 第2曲: モルダウ
13611255;JA;name;連作交響詩《わが祖国》 第3曲: シャルカ
13611260;JA;name;連作交響詩《わが祖国》 第4曲:ボヘミアの森と草原から
13615206;JA;name;ツィガーヌ
13615211;JA;name;ヴァイオリン・ソナタ ト短調 第3楽章: Finale (Très animé)
13615217;JA;name;フォーレの名による子守歌
13615222;JA;name;ハバネラ形式の小品
13615227;JA;name;ヴァイオリン・ソナタ イ長調 第4楽章: Allegretto poco mosso
13615232;JA;name;ヴァイオリン・ソナタ ト短調 第1楽章: Allegro vivo
13615237;JA;name;ヴァイオリン・ソナタ ト短調 第2楽章: Intermède. Fantasque et léger
13615242;JA;name;ヴァイオリン・ソナタ イ長調 第2楽章: Allegro
13615247;JA;name;ヴァイオリン・ソナタ イ長調 第3楽章: Recitativo-Fantasia. Moderato - Molto lento
13615669;JA;name;叙情的場面《エルミニー》 レチタティーヴォ「クロリンダは何と幸せなのでしょう!」
13615677;JA;name;叙情的場面《エルミニー》 アリア第3番「さあおいで、おいで、恐ろしい武器たちよ!」
13615685;JA;name;叙情的場面《エルミニー》 祈り「キリスト教の神よ、私はあなたのことを知りません」
13615693;JA;name;叙情的場面《エルミニー》 アリア第1番「ああ! もし私が情深いお気持に私の心を捧げたならば」
13615703;JA;name;叙情的場面《エルミニー》 レチタティーヴォ「私は何を言っているの? 私はいったい何を望んでいるの?」
13615711;JA;name;叙情的場面《エルミニー》 アリア第2番「待って! 待って! 愛するタンクレード」
13615721;JA;name;幻想交響曲 作品14 第4楽章: 断頭台への行進
13615728;JA;name;幻想交響曲 作品14 第5楽章: サバトの夜の夢
13615734;JA;name;叙情的場面《エルミニー》 レチタティーヴォ「何を取り乱しているの、かわいそうなエルミニー!」
13615742;JA;name;幻想交響曲 作品14 第1楽章: 夢-情熱
13615748;JA;name;幻想交響曲 作品14 第2楽章: 舞踏会
14172526;JA;name;イエスタデイ・ワンス・モア
14172529;JA;name;スーパースター
14172532;JA;name;雨の日と月曜日は
14172535;JA;name;愛にさよならを
14172538;JA;name;小さな愛の願い
14172541;JA;name;愛は夢の中に
14172544;JA;name;ふたりの誓い
14172547;JA;name;ジャンバラヤ
14172550;JA;name;タッチ・ミー
14172553;JA;name;プリーズ・ミスター・ポストマン
14172556;JA;name;青春の輝き
14172559;JA;name;ソリテアー
14172562;JA;name;愛のプレリュード
14172565;JA;name;遙かなる影
14172568;JA;name;マスカレード
14172571;JA;name;涙の乗車券
14172574;JA;name;トップ・オブ・ザ・ワールド
14172577;JA;name;オンリー・イエスタデイ
14172580;JA;name;シング
14172583;JA;name;星空に愛を(コーリング・オキュパンツ)
